2018-09-27 11:45:38,636 | WARN  | OFRpc-0          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:45:38,637 | WARN  | OFRpc-4          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:45:41,613 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:45:41,613 | WARN  | OFRpc-3          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:45:41,634 | WARN  | OFRpc-9          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:45:41,634 | WARN  | OFRpc-6          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:45:44,614 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:45:44,614 | WARN  | OFRpc-7          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:45:44,636 | WARN  | OFRpc-2          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:45:44,636 | WARN  | OFRpc-5          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:45:47,613 | WARN  | OFRpc-4          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
